kommunenummer,K1,K2,K3,K4,K5,K6,K7
1933,0.0,0.0,0.0,0.0,5625.0,0.0,0.0
1936,0.0,0.0,0.0,0.0,2252.0,0.0,0.0
1938,0.0,0.0,0.0,0.0,2847.0,0.0,0.0
1939,0.0,0.0,0.0,1841.0,0.0,0.0,0.0
1940,0.0,0.0,0.0,0.0,2097.0,0.0,0.0
1941,0.0,0.0,0.0,0.0,2917.0,0.0,0.0
1942,0.0,0.0,0.0,0.0,4908.0,0.0,0.0
1943,0.0,0.0,0.0,1202.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,2081.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,5894.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,10536.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,2924.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,20665.0,0.0
2014,0.0,0.0,917.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,1045.0,0.0,0.0,0.0
2017,0.0,0.0,988.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,1235.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,3218.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,3944.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,2673.0,0.0,0.0
2022,0.0,0.0,0.0,1328.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,1169.0,0.0,0.0,0.0
2024,0.0,0.0,981.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,2900.0,0.0,0.0
2027,0.0,0.0,941.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,2270.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,10156.0,0.0,0.0
5001,0.0,0.0,0.0,0.0,0.0,0.0,196158.0
5004,0.0,0.0,0.0,0.0,0.0,22090.0,0.0
5005,0.0,0.0,0.0,0.0,13113.0,0.0,0.0
5011,0.0,0.0,0.0,0.0,4228.0,0.0,0.0
5012,0.0,0.0,999.0,0.0,0.0,0.0,0.0
5013,0.0,0.0,0.0,0.0,4694.0,0.0,0.0
5014,0.0,0.0,0.0,0.0,5068.0,0.0,0.0
5015,0.0,0.0,0.0,0.0,5334.0,0.0,0.0
5016,0.0,0.0,0.0,1693.0,0.0,0.0,0.0
5017,0.0,0.0,0.0,0.0,4904.0,0.0,0.0
5018,0.0,0.0,0.0,0.0,3340.0,0.0,0.0
5019,0.0,0.0,957.0,0.0,0.0,0.0,0.0
