,kommunenummer,navn,SMR,RR,LL,UL
298,5037,Levanger,1.185265693,1.191146414,0.602139132,1.97827576
299,5038,Verdal,1.300903965,1.238349908,0.576335135,2.155387996
300,5041,Snåsa,0,0.378155393,0.015822912,1.673674384
301,5042,Lierne,0,0.373670125,0.015397754,1.664545154
302,5043,Røyrvik,0,0.873483119,0.016507267,5.213718739
303,5044,Namsskogan,0,0.868592227,0.016505955,5.183548194
304,5045,Grong,0,0.320286959,0.012706027,1.457286077
305,5046,Høylandet,0,0.373305001,0.015567252,1.659249554
306,5047,Overhalla,0,0.260238643,0.014087703,1.052423673
307,5049,Flatanger,0,0.384545317,0.015533101,1.71254175
308,5052,Leka,0,0.880215941,0.015651218,5.294472108
309,5053,Inderøy,0,0.202266813,0.012416718,0.781875239
310,5054,Indre Fosen,0,0.153460799,0.011403287,0.553767424
311,5055,Heim,1.626742971,1.51348245,0.508181139,3.112570035
312,5056,Hitra,0.824023642,0.931682631,0.164729807,2.524204017
313,5057,Ørland,1.777556916,1.71209783,0.791677397,2.990067996
314,5058,Åfjord,1.324330224,1.32987194,0.316926816,3.197360081
315,5059,Orkland,1.25910392,1.187081757,0.598896885,1.973791468
316,5060,Nærøysund,0,0.131757569,0.008882681,0.493792311
317,5061,Rindal,0,0.363387222,0.015004342,1.630752897
318,5401,Tromsø,1.103995743,1.086130568,0.756691524,1.469996657
319,5402,Harstad,1.125552615,1.068299378,0.575250333,1.709141115
320,5403,Alta,1.389027638,1.284099575,0.666587681,2.099634641
321,5404,Vardø,0,0.267166252,0.00799233,1.288337759
322,5405,Vadsø,0,0.18513033,0.010432305,0.736595694
323,5406,Hammerfest,1.971180759,1.881645974,0.90322002,3.217244585
324,5411,Kvæfjord,0,0.329738781,0.012878347,1.4895328
325,5412,Tjeldsund,0,0.217767991,0.010432444,0.913348496
326,5413,Ibestad,0,0.269527091,0.008259193,1.298093371
327,5414,Gratangen,0,0.29011547,0.010458835,1.347193003
328,5415,Lavangen,0,0.283203517,0.010118365,1.320567602
329,5416,Bardu,0,0.254713147,0.013480482,1.033687172
330,5417,Salangen,0,0.263360305,0.00866231,1.255568722
331,5418,Målselv,1.560224219,1.522224492,0.51650342,3.117794702
332,5419,Sørreisa,0,0.227727523,0.01127908,0.945838362
333,5420,Dyrøy,0,0.389854533,0.015556036,1.738045208
334,5421,Senja,1.684715685,1.642279111,0.851680363,2.686940917
335,5422,Balsfjord,0,0.179883933,0.01009497,0.715906999
336,5423,Karlsøy,0,0.317475002,0.011024035,1.477984379
337,5424,Lyngen,0,0.194584741,0.007895817,0.85411577
338,5425,Storfjord,0,0.339319403,0.013523794,1.529091222
339,5426,Kåfjord,0,0.297340065,0.010647216,1.384797396
340,5427,Skjervøy,0,0.278406245,0.008307172,1.334187112
341,5428,Nordreisa,0,0.204063606,0.009053036,0.879708914
342,5429,Kvænangen,0,0.366271538,0.014493199,1.646825998
343,5430,Kautokeino,0,0.307542788,0.011469727,1.420507844
344,5432,Loppa,0,0.292776746,0.010426792,1.366539318
345,5433,Hasvik,0,0.476760476,0.007357604,2.92342332
346,5434,Måsøy,0,0.290280637,0.010248805,1.358390673
347,5435,Nordkapp,0,0.28922828,0.010072122,1.358019249
348,5436,Porsanger,0,0.200471963,0.008935807,0.86622215
349,5437,Karasjok,0,0.25844783,0.008354619,1.243201687
350,5438,Lebesby,0,0.360425775,0.01395459,1.630667608
351,5439,Gamvik,0,0.261865062,0.007967457,1.265427316
352,5440,Berlevåg,0,0.837390216,0.013825382,5.085260288
353,5441,Tana,0,0.273517505,0.009352323,1.298374664
354,5442,Nesseby,0,0.370169596,0.014465281,1.665014757
355,5443,Båtsfjord,0,0.287503565,0.009702623,1.357284465
356,5444,Sør-Varanger,1.755748614,1.515053907,0.662993525,2.725119161
