;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
99;3011;23;18,56267711;1,239045417;0,008894231;0,07;0,2;0,180288462;0,26;0,394711538;0,01;0,01073107;0,106;0,04;0,008149301;0,000721154;0,000116779;11,67792903
100;3012;10;6,309525343;1,584905275;0,025459689;0,056;0;0,195190948;0,37;0,214992928;0;0,01073107;0,142;0,04;0,008149301;0,001414427;0,000113623;11,36230933
101;3013;28;15,51054462;1,805223523;0,010932106;0,057;0,33;0,206271577;0,45;0,520425777;0,018;0,01073107;0,097;0,05;0,008149301;0,001150748;0,000119935;11,99354873
102;3014;201;183,4313775;1,095777629;0,001629853;0,075;0,24;0,156173981;0,35;0,733020337;0,054;0,01073107;0,146;0,08;0,008149301;0,000802763;0,000211465;21,14652014
103;3015;22;15,95676282;1,378725763;0,010346756;0,057;0,22;0,147371365;0,4;0,440995526;0,017;0,01073107;0,136;0,05;0,008149301;0,000838926;0,000116779;11,67792903
104;3016;33;33,91704536;0,97296211;0,005525589;0,074;0,31;0,168398895;0,36;0,595053282;0,043;0,01073107;0,114;0,07;0,008149301;0,001052493;0,00013256;13,25602755
105;3017;33;30,99431615;1,064711344;0,005614742;0,073;0,24;0,173913043;0,33;0,7566945;0,016;0,01073107;0,095;0,06;0,008149301;0,000719839;0,000123092;12,30916844
106;3018;22;20,40555827;1,078137619;0,008309644;0,066;0,36;0,13492237;0,32;0,596107588;0,017;0,01073107;0,089;0,06;0,008149301;0,000874699;0,000119935;11,99354873
107;3019;65;65,62977281;0,99040416;0,005303236;0,079;0,24;0,128977427;0,23;0,854093011;0,052;0,011569733;0;0,06;0,004536455;0,001087843;0,000145555;14,55547034
108;3020;214;239,4362238;0,893766184;0,002217708;0,089;0,21;0,143815576;0,19;0,929145157;0,061;0,011569733;0;0,08;0,004536455;0,001062264;0,000222064;22,20642269
109;3021;70;74,66569135;0,937512246;0,004601685;0,099;0,24;0,133687922;0,2;0,850056774;0,086;0,011569733;0;0,14;0,004536455;0,000896432;0,000143689;14,36886174
110;3022;62;66,1027641;0,937933547;0,004995275;0,099;0,14;0,154921021;0,19;0,858647226;0,03;0,011569733;0;0,07;0,004536455;0,000810045;0,00013809;13,80903596
111;3023;86;78,15511767;1,100375798;0,004453326;0,091;0,31;0,125549529;0,17;0,875592349;0,031;0,011569733;0;0,08;0,004536455;0,000913503;0,000145555;14,55547034
112;3024;496;503,2850452;0,985525012;0,00155157;0,128;0,19;0,150918973;0,12;0,986417115;0,069;0,011569733;0;0,11;0,004536455;0,001001871;0,000326565;32,65650396
113;3025;358;373,4980197;0,958505751;0,001780103;0,104;0,22;0,141333047;0,17;0,931018004;0,05;0,021182432;0;0,07;0,010577094;0,000884078;0,000420824;42,08243073
