"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"115",3027,"RÃ¦lingen",8,7.63609749086509,1.0476555609158,"Rælingen",6.35,115,115,1.17158185284469,0.552899297116709,2.02467857910152
"116",3028,"Enebakk",5,4.62192901911882,1.08179939140503,"Enebakk",4.3,116,116,1.08720708695638,0.397641919288179,2.15328738189425
"117",3029,"LÃ¸renskog",22,17.6428272117758,1.24696567822848,"Lørenskog",7.525,117,117,1.32701664859585,0.847998656705912,1.9062069619363
"118",3030,"LillestrÃ¸m",43,37.3573653955751,1.15104476840579,"Lillestrøm",6.4,118,118,1.17697484701851,0.855768598871984,1.54467914075199
"119",3031,"Nittedal",13,10.3298530472458,1.25848837737979,"Nittedal",4.7,119,119,1.26917851998289,0.691520891313296,2.01778480083565
"120",3032,"Gjerdrum",0,2.91380291707845,0,"Gjerdrum",4.425,120,120,0.323860818831787,0.0373039634534198,1.04306157716761
"121",3033,"Ullensaker",18,16.3016076784492,1.10418557206453,"Ullensaker",5.3,121,121,1.13352988285975,0.683495436298017,1.69150246800278
"122",3034,"Nes",12,9.87081233150317,1.21570541481185,"Nes",4.2,122,122,1.20696665651206,0.637673129631872,1.95488670989474
"123",3035,"Eidsvoll",14,10.8273710115828,1.29301932897868,"Eidsvoll",4.275,123,123,1.28453691941535,0.713682432451665,2.01820650955133
"124",3036,"Nannestad",0,5.76820056647283,0,"Nannestad",3.875,124,124,0.186484863862022,0.02377867547852,0.574976775315768
"125",3037,"Hurdal",0,1.37556557740543,0,"Hurdal",2.625,125,125,0.235597126663019,0.015735545096422,0.952550449689311
"126",3038,"Hole",0,3.03014157735425,0,"Hole",3.95,126,126,0.275500342880817,0.0296378422295505,0.9112105157369
"127",3039,"FlÃ¥",0,0.568265652723897,0,"Flå",1.975,127,127,0.209743897346504,0.0104870039151802,0.973243223990955
"128",3040,"Nesbyen",0,1.69601749382554,0,"Nesbyen",2.4,128,128,0.198632829901655,0.0134608422430076,0.795482190557678
"129",3041,"Gol",0,2.31216376180869,0,"Gol",2.5,129,129,0.185554615609579,0.0140174725587618,0.708357826062752
"130",3042,"Hemsedal",0,1.09461567950311,0,"Hemsedal",1.875,130,130,0.174851735781675,0.00969358645402907,0.766697606357887
"131",3043,"Ã…l",0,2.33295412880227,0,"Ål",2.25,131,131,0.166694417152165,0.0120350712956907,0.648125958327815
"132",3044,"Hol",0,2.20354309411832,0,"Hol",2.15,132,132,0.163166056102362,0.0113668901821126,0.643723385664729
"133",3045,"Sigdal",0,1.71507752630423,0,"Sigdal",2.25,133,133,0.185196682269508,0.0122547037545402,0.749052373788936
