"","kommunenummer","population","cases","expected","SMR"
"209",3823,1351,3,6.02840787745104,0.497643832498686
"210",3824,2316,11,10.3344135042018,1.06440486395552
"211",3825,3661,19,16.336048289673,1.16307197818526
"212",4201,6871,35,30.6596524988646,1.14156544994423
"213",4202,20823,78,92.9160157158867,0.83946776450794
"214",4203,42229,191,188.43348353581,1.01362027818003
"215",4204,99102,420,442.211160230313,0.949772501854669
"216",4205,21911,85,97.7708697282233,0.869379603927807
"217",4206,9415,53,42.0114434982987,1.2615610316305
"218",4207,9013,40,40.2176463356522,0.994588287593068
"219",4211,2497,12,11.1420684455923,1.07699930749816
"220",4212,1922,10,8.57631379752842,1.16600211187257
"221",4213,5969,31,26.6347643379017,1.16389240793419
"222",4214,5127,21,22.8776070967368,0.917928169288096
"223",4215,9713,37,43.3411737332953,0.853691693438752
"224",4216,4776,11,21.3113812159187,0.516156127496019
"225",4217,1829,6,8.16133087184156,0.735174212909485
"226",4218,1305,3,5.82314750560592,0.515185300923927
"227",4219,3475,20,15.5060824382993,1.28981643684551
"228",4220,1239,5,5.52864349382815,0.904380976198176
"229",4221,1284,1,5.72944168367663,0.174537076247592
"230",4222,989,4,4.41309799466993,0.906392743789315
"231",4223,13334,45,59.498734743103,0.75631860398874
"232",4224,912,5,4.0695099809292,1.22864915516397
"233",4225,9475,34,42.2791744180966,0.804178427510805
"234",4226,1639,9,7.31351629248131,1.2305982020239
"235",4227,5816,36,25.9520504924169,1.38717362662804
"236",4228,1791,8,7.99176795596951,1.00103006544683
"237",4601,260392,1129,1161.91649446723,0.971670516234194
"238",4602,17618,85,78.6147224166783,1.08122241467035
"239",4611,3909,21,17.442669424838,1.20394416063957
"240",4612,5138,32,22.9266910986998,1.39575309242138
"241",4613,11421,55,50.9625805835442,1.07922321378206
"242",4614,17804,67,79.444688268052,0.843354055011674
"243",4615,2929,11,13.0697310681377,0.841639352994534
"244",4616,2756,19,12.2977735827202,1.54499510600009
"245",4617,13243,73,59.0926761814094,1.23534767279614
"246",4618,11431,63,51.0072024035106,1.23511968960023
"247",4619,959,7,4.27923253477094,1.63580734234969
"248",4620,1118,10,4.98871947223557,2.00452241414945
"249",4621,14904,99,66.5043604778166,1.48862419379287
"250",4622,8442,43,37.6697404155749,1.14149976946009
"251",4623,2394,20,10.6824636999391,1.87222728405938
"252",4624,21061,96,93.9780150310853,1.02151551049728
"253",4625,4680,24,20.8830117442419,1.14925951744568
"254",4626,32785,130,146.292636759609,0.888629823615923
"255",4627,25602,121,114.240783477795,1.05916640552031
"256",4628,4153,32,18.5314418320164,1.72679494073226
"257",4629,370,1,1.65100733875417,0.605690826761914
"258",4630,7465,39,33.3101886048645,1.1708129444306
"259",4631,26236,108,117.069806863661,0.922526506990626
"260",4632,2789,12,12.4450255886091,0.964240685128325
"261",4633,587,2,2.61930083202351,0.763562541403435
"262",4634,1672,19,7.46076829837019,2.54665461252168
"263",4635,2299,10,10.258556410259,0.974796023931745
"264",4636,862,2,3.84640088109755,0.519966603020668
"265",4637,1483,8,6.61741590100658,1.20893111747489
"266",4638,4280,25,19.0981389455888,1.30902807185694
"267",4639,2758,27,12.3066979467135,2.19392725139649
"268",4640,10728,57,47.8702884598776,1.19071770473609
"269",4641,1689,18,7.53662539231295,2.38833683021572
"270",4642,2224,14,9.92389276051155,1.41073672779978
"271",4643,5601,35,24.9926813631408,1.40040996367913
"272",4644,5023,20,22.413540169087,0.892317761902879
"273",4645,3000,23,13.3865459898987,1.7181429785813
"274",4646,2909,14,12.9804874282051,1.07854193283833
"275",4647,20713,94,92.4251756962571,1.0170389105769
"276",4648,3910,37,17.4471316068346,2.12069243436588
"277",4649,8715,48,38.8879161006556,1.23431659016541
"278",4650,5705,29,25.4567482907906,1.13918712903687
"279",4651,7018,38,31.3155932523696,1.21345298151503
"280",5001,179380,739,800.426206556008,0.923258126666909
"281",5006,23760,144,106.021444239997,1.3582157933449
"282",5007,15266,74,68.1196703605977,1.08632351871749
"283",5014,4326,20,19.3033993174339,1.03608694360568
"284",5020,1025,6,4.57373654654871,1.31183769308434
"285",5021,6691,28,29.8564597394707,0.937820499963149
"286",5022,2629,24,11.7310764691479,2.04584805692118
"287",5025,5581,26,24.9034377232082,1.04403256646651
"288",5026,2048,8,9.13854872910416,0.875412523054328
"289",5027,6015,29,26.8400247097468,1.08047590542898
"290",5028,15028,48,67.0576710453991,0.715801775571705
"291",5029,6756,28,30.1465015692518,0.928797656195001
"292",5031,12677,49,56.5670811713152,0.866228184049341
"293",5032,3996,14,17.830879258545,0.78515477543211
"294",5033,868,5,3.87317397307735,1.2909309095732
"295",5034,2503,7,11.1688415375721,0.626743604200302
"296",5035,21659,105,96.6463998650718,1.08643467471722
"297",5036,2538,14,11.3250179074543,1.23620113578673
"298",5037,18741,75,83.625752798897,0.896852913005875
